Playlist ID,Add new videos to top,Playlist Image 1 Create Timestamp,Playlist Image 1 URL,Playlist Image 1 Height,Playlist Image 1 Width,Playlist Image 2 Create Timestamp,Playlist Image 2 URL,Playlist Image 2 Height,Playlist Image 2 Width,Playlist Title (Original),Playlist Title (Original) Language,Playlist Create Timestamp,Playlist Update Timestamp,Playlist Video Order,Playlist Visibility
PLLUxIGUvOzFYpSOiE18DfWDwO1u-QZCq0,False,,,,,,,,,good episodes,,2021-07-21T16:54:43+00:00,2023-10-14T11:47:39+00:00,Manual,Private
PLLUxIGUvOzFaE062pdvdRME43U7s6aj_K,False,,,,,,,,,game design,,2023-10-14T03:21:58+00:00,2023-12-04T23:58:04+00:00,Manual,Unlisted
PLLUxIGUvOzFbAD7mzTCGVExC9kxXbqEGa,False,,,,,,,,,music analysis,,2023-10-14T03:27:08+00:00,2023-10-14T04:33:50+00:00,Manual,Private
PLLUxIGUvOzFasgzrl_rZWmfVg0kW1K5s7,False,,,,,,,,,RHCP,,2020-10-30T05:51:04+00:00,2020-10-30T05:51:04+00:00,Manual,Private
PLLUxIGUvOzFY3ycZpVQ1K0jvA-V_EgDa7,False,,,,,,,,,tv,,2023-10-14T03:37:09+00:00,2023-10-14T04:46:55+00:00,Manual,Private
PLLUxIGUvOzFY8Ald7SdJNkXj_GpyeuDJF,False,,,,,,,,,drawing,,2023-10-14T04:35:32+00:00,2023-10-14T11:43:42+00:00,Manual,Private
PLLUxIGUvOzFYwKg0eqkl468lERdIoczjb,False,,,,,,,,,anime,,2023-10-14T03:26:20+00:00,2023-10-14T04:25:01+00:00,Manual,Private
PLLUxIGUvOzFaPhMqhK9Y-Otnj7vbn_Yy1,False,,,,,,,,,food,,2023-10-14T01:22:01+00:00,2023-10-14T05:00:02+00:00,Manual,Private
PLLUxIGUvOzFaOLaSuJBnu-evUonVpNgb2,False,,,,,,,,,analysis,,2023-10-14T01:31:44+00:00,2023-10-14T12:12:49+00:00,Manual,Private
PLLUxIGUvOzFb4SCHn5iFDHD-JzGzxeXnv,False,,,,,,,,,misc,,2023-10-14T01:21:33+00:00,2023-10-14T04:04:21+00:00,Manual,Private
PLLUxIGUvOzFZ3O19Xryjbkcl6TND2x1kD,False,2023-11-27T01:15:46.730420082+00:00,https://yt3.googleusercontent.com/lrM55HQa7-JFrFsxEAvzcaQjPruN8j7YG3usRKkrSlXpQeYOhSDVjcjSf5xgqnJP3IVjOqcynQ,1000,1000,2023-11-27T01:15:25.822843933+00:00,https://yt3.googleusercontent.com/QTrX0P3V6BkbTHCHA67Ay3Tn3wZke8nEryK_51XuijvAtUXZdHGqWhVaUwqqaPUIYNs_Zhy_dnSc,1000,1000,downbeat_music,,2023-11-27T01:02:08+00:00,2023-12-02T02:05:43+00:00,Manual,Private
PLLUxIGUvOzFbPF48JKnN01CTnrA4lv_jF,False,,,,,,,,,history,,2023-10-14T03:31:10+00:00,2023-10-14T05:17:54+00:00,Manual,Private
PLLUxIGUvOzFYqJJ9H2LQk_L_uWaNwD31e,False,,,,,,,,,humour,,2020-08-21T00:21:37+00:00,2023-11-20T01:01:34+00:00,Manual,Unlisted
PLLUxIGUvOzFYCyEEVSAPw8M8NEManI-9_,False,2023-10-14T05:06:04.178788917+00:00,https://yt3.googleusercontent.com/_io_OBEYLeuKCo2V02lwVleMDdOZSZRdTCkg32LWerbeB1CWp6giC4B9K2GlBJIJHMKpA1A1PKw,1000,1000,2023-10-14T05:06:49.389061215+00:00,https://yt3.googleusercontent.com/dzl1hJM3wzZogs2ZyZSRj8e2vVEwwLfJXLDg-puljFP5wQeeyq6v1x4n-ZqGtBI3qWXi0O_mTfk,1000,1000,classical,,2023-10-14T05:01:27+00:00,2023-10-24T18:47:40+00:00,Manual,Private
PLLUxIGUvOzFZVhJwIW5YVB0_OxP6QgslD,False,,,,,,,,,Watch later,en_US,2014-07-14T08:04:54+00:00,2023-12-08T18:56:56+00:00,Date Added (Newest),Private
PLLUxIGUvOzFYH63NW0Xrcmk1EsUqtPSvC,False,,,,,,,,,lets plays,,2023-10-14T01:21:17+00:00,2023-10-15T13:00:47+00:00,Manual,Private
PLLUxIGUvOzFZvVom3NZSadctFpmgdYY3U,False,,,,,,,,,40k,,2023-10-14T01:26:02+00:00,2023-10-14T11:45:01+00:00,Manual,Private
PLLUxIGUvOzFYrl_nSklliKbboWXOZtK2q,False,,,,,,,,,longplays,,2023-10-14T03:20:42+00:00,2023-12-03T22:26:19+00:00,Manual,Private
PLLUxIGUvOzFaUHa7AJITk05nEtKt8rPZO,False,,,,,,,,,ranking,,2023-10-14T04:01:33+00:00,2023-10-14T04:06:58+00:00,Manual,Private
PLLUxIGUvOzFbWVtwuo1i5bqtFJIG40TXd,False,,,,,,,,,podcast,,2023-10-14T02:05:19+00:00,2023-10-14T02:05:19+00:00,Manual,Private
